Title,Year,Cited by,Link,Abstract,Latin Ratio
Comparison of ecological micro-expression recognition in patients with depression and healthy individuals,2017,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041952259&doi=10.3389%2ffnbeh.2017.00199&partnerID=40&md5=8c75e9a5036cb9e4595acddb2bc32495,"Previous studies have focused on the characteristics of ordinary facial expressions in patients with depression, and have not investigated the processing characteristics of ecological micro-expressions (MEs, i.e., MEs that presented in different background expressions) in these patients. Based on this, adopting the ecological MEs recognition paradigm, this study aimed to comparatively evaluate facial ME recognition in depressed and healthy individuals. The findings of the study are as follows: (1) background expression: the accuracy (ACC) in the neutral background condition tended to be higher than that in the fear background condition, and the reaction time (RT) in the neutral background condition was significantly longer than that in other backgrounds. The type of ME and its interaction with the type of background expression could affect participants’ ecological MEs recognition ACC and speed. Depression type: there was no significant difference between the ecological MEs recognition ACC of patients with depression and healthy individuals, but the patients’ RT was significantly longer than that of healthy individuals; and (2) patients with depression judged happy MEs that were presented against different backgrounds as neutral and judged neutral MEs that were presented against sad backgrounds as sad. The present study suggested the following: (1) ecological MEs recognition was influenced by background expressions. The ACC of happy MEs was the highest, of neutral ME moderate and of sadness and fear the lowest. The response to the happy MEs was significantly shorter than that of identifying other MEs. It is necessary to conduct research on ecological MEs recognition; (2) the speed of patients with depression in identifying ecological MEs was slower than of healthy individuals; indicating that the patients’ cognitive function was impaired; and (3) the patients with depression showed negative bias in the ecological MEs recognition task, reflecting the lack of happy ME recognition ability and the generalized identification of sad MEs in those patients. © 2017 Zhu, Chen, Zhang, Liu, Tang, Xu, Zhang and Liu.",0.3762057877813505
Self-referential information alleviates retrieval inhibition of directed forgetting effects—an ERP evidence of source memory,2017,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041956052&doi=10.3389%2ffnbeh.2017.00187&partnerID=40&md5=2ebb8948320bf4d605f74bf0d8faa0be,"Directed forgetting (DF) assists in preventing outdated information from interfering with cognitive processing. Previous studies pointed that self-referential items alleviated DF effects due to the elaboration of encoding processes. However, the retrieval mechanism of this phenomenon remains unknown. Based on the dual-process framework of recognition, the retrieval of self-referential information was involved in familiarity and recollection. Using source memory tasks combined with event-related potential (ERP) recording, our research investigated the retrieval processes of alleviative DF effects elicited by self-referential information. The FN400 (frontal negativity at 400 ms) is a frontal potential at 300–500 ms related to familiarity and the late positive complex (LPC) is a later parietal potential at 500–800 ms related to recollection. The FN400 effects of source memory suggested that familiarity processes were promoted by self-referential effects without the modulation of to-be-forgotten (TBF) instruction. The ERP results of DF effects were involved with LPCs of source memory, which indexed retrieval processing of recollection. The other-referential source memory of TBF instruction caused the absence of LPC effects, while the self-referential source memory of TBF instruction still elicited the significant LPC effects. Therefore, our neural findings suggested that self-referential processing improved both familiarity and recollection. Furthermore, the self-referential processing advantage which was caused by the autobiographical retrieval alleviated retrieval inhibition of DF, supporting that the self-referential source memory alleviated DF effects. © 2017 Mao, Wang, Wu and Guo.",0.43946188340807174
Visually Evoked Visual-Auditory Changes Associated with Auditory Performance in Children with Cochlear Implants,2017,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076536947&doi=10.3389%2ffnhum.2017.00510&partnerID=40&md5=6177763d1d9530380ec292b94687928f,"Activation of the auditory cortex by visual stimuli has been reported in deaf children. In cochlear implant (CI) patients, a residual, more intense cortical activation in the frontotemporal areas in response to photo stimuli was found to be positively associated with poor auditory performance. Our study aimed to investigate the mechanism by which visual processing in CI users activates the auditory-associated cortex during the period after cochlear implantation as well as its relation to CI outcomes. Twenty prelingually deaf children with CI were recruited. Ten children were good CI performers (GCP) and ten were poor (PCP). Ten age- and sex- matched normal-hearing children were recruited as controls, and visual evoked potentials (VEPs) were recorded. The characteristics of the right frontotemporal N1 component were analyzed. In the prelingually deaf children, higher N1 amplitude was observed compared to normal controls. While the GCP group showed significant decreases in N1 amplitude, and source analysis showed the most significant decrease in brain activity was observed in the primary visual cortex (PVC), with a downward trend in the primary auditory cortex (PAC) activity, but these did not occur in the PCP group. Meanwhile, higher PVC activation (comparing to controls) before CI use (0M) and a significant decrease in source energy after CI use were found to be related to good CI outcomes. In the GCP group, source energy decreased in the visual-auditory cortex with CI use. However, no significant cerebral hemispheric dominance was found. We supposed that intra- or cross-modal reorganization and higher PVC activation in prelingually deaf children may reflect a stronger potential ability of cortical plasticity. Brain activity evolution appears to be related to CI auditory outcomes. © Copyright © 2017 Liang, Zhang, Liu, Chen, Cai, Wang, Wang, Zhang, Chen, Li, Chen and Zheng.",0.3854166666666667
The different roles of category- and feature-specific attentional control settings on attentional enhancement and inhibition,2017,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022005815&doi=10.3758%2fs13414-017-1363-0&partnerID=40&md5=c7accff62f7f92c86b30b1ff633ac341,"Contingent attentional capture suggests that top-down attentional control settings (ACS) can enhance attentional processing of task-relevant properties and inhibit attentional processing of task-irrelevant properties. However, it remains unclear how ACS operates when a distractor has both task-relevant and task-irrelevant characteristics. In the present study, two lateralized ERP components, N2pc and distractor positivity (Pd), were employed as markers of attentional enhancement and inhibition, respectively. The degree of matching between a distractor and a conjunctively defined target was manipulated to illustrate attentional guidance by category-specific ACS (cACS) and feature-specific ACS (fACS), and the relative position between the distractor and the target was manipulated to isolate the processing of the distractor and the target. Experiment 1 showed that, with a long display duration for searching, a reliable N2pc component was elicited by a distractor that was feature-matched but category-mismatched (C-F+) relative to the target-defined properties, suggesting an enhancing effect of fACS. In contrast, Experiment 2 demonstrated that, with a short display duration, a Pd component was elicited by a distractor that was feature-mismatched but category-matched (C+F-) relative to the target-defined properties, suggesting an inhibitory effect of fACS. Moreover, both attentional enhancement and inhibition were only triggered by fACS but not by cACS. In summary, ACS can enhance target-relevant properties or inhibit target-irrelevant properties in response to the display duration, and fACS affects both enhancement and inhibition more than cACS. © 2017, The Psychonomic Society, Inc.",0.42105263157894735
The relation between maternal work hours and primary school students' affect in China: The role of the frequency of mother-child communication (FMCC) and maternal education,2017,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049222093&doi=10.3389%2ffpsyg.2017.01777&partnerID=40&md5=e202248f9bca38ecf11ead6ae426e322,"Background: Although substantial evidence suggests that maternal work hours may have a negative effect on children's cognitive development, the link between maternal work hours and children's affect remains unclear. Some studies have observed that non-daytime maternal work hours are associated with more emotional problems among children. However, few studies have focused on the effects of maternal work hours on workdays and non-workdays. Therefore, this study separately investigated the relation between maternal work hours on workdays and on non-workdays and explored the mediating role of the frequency of mother-child communication (FMCC) and the moderating role of maternal education. Method: Using cluster sampling, this study selected 879 students in grades 4-6 at two primary schools in the Hebei and Shandong provinces in China and their mothers as the study subjects. A multi-group structural equation model (SEM) was used to test the relations between maternal work hours, FMCC and children's affect and the moderating effect of maternal education. Results: (1) Non-college-educated mothers' work hours on workdays negatively predicted FMCC, but there was no such effect for college-educated mothers; (2) non-workday work hours of all employed mothers negatively predicted FMCC; (3) the FMCC of all employed mothers positively predicted children's positive affect; (4) the FMCC of college-educated mothers negatively predicted children's negative affect although there was no such relation for non-college-educated mothers; (5) there was a significant mediating effect of FMCC on the relation between maternal work hours and children's affect only for non-college-educated mothers; and (6) the workday work hours of non-college-educated mothers positively predicted children's negative affect, but this correlation was negative for college-educated mothers. Conclusion: Maternal work hours have a marginally significant negative effect on children's affect through FMCC only for non-college-educated mothers. Compared with non-college-educated mothers, college-educated mothers more easily compensate for the loss of communication opportunities caused by increased work hours on workdays, and children with college-educated mothers benefit more from this communication. However, compensating for the loss of communication opportunities caused by increased work hours on non-workdays is difficult for all employed mothers. © 2017 Zhou, Lv, Guo, Liu, Qi, Hu, Liu and Luo.",0.49107142857142855
Assimilation Effects of Eye Shadow on Facial Colors,2017,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030459546&doi=10.1111%2fjpr.12164&partnerID=40&md5=a8c775e7041863ee343c91bd225aa105,"Makeup can change facial complexion, making it of interest both practically and for empirical research on perception. We examined the assimilation effect of eye shadow on complexion using two series of eye shadows: typical colors that are not evenly saturated and colors with saturation as even as possible. Twenty participants assessed the degree of redness in reddish faces, yellowness in yellowish faces, and lightness in both faces via paired comparisons. The results indicated that: (a) the reddish face was perceived as redder when it had eye shadow of pinkish and purplish colors or reddish saturated colors instead of containing yellowish components; (b) the yellowish face became less yellow with colors without a greenish or yellowish component; and (c) except for the lighter yellowish shade, eye shadow made the face perceptually darker. We confirmed the assimilation effect of eye shadow on complexion and showed differences in perceptual hue change according to the original face colors. © 2017 Japanese Psychological Association. Published by John Wiley & Sons Australia, Ltd.",0.4329268292682927
Transcranial direct current stimulation of the medial prefrontal cortex affects jsudgments of moral violations,2017,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032182465&doi=10.3389%2ffpsyg.2017.01812&partnerID=40&md5=7f9e497c7b9e935accd75c7a60a7f244,"Previous studies show that neural activities in the medial prefrontal cortex (mPFC) are correlated with moral processing during picture viewing tasks. In this study, we applied transcranial direct current stimulation (tDCS) to determine whether this non-invasive brain stimulation technique could modulate the evaluation of moral violations. Sixty-four subjects were randomly recruited, separated into different groups and tested with 42 pairs of pictures depicting moral violations. Each subject was required to rate the pictures two separate times, i.e., before and after tDCS intervention. We found that anodal tDCS (atDCS) increases cortical excitability over the mPFC (between the Fpz and Fp1 positions) as well as the sense of morality and emotional arousal of the subjects. In conclusion, this study indicated that the mPFC plays an important role in moral judgments while modulating ratings of moral violations under tDCS intervention conditions. © 2017 Yuan, Tabarak, Su, Liu, Yu and Lei.",0.3680555555555556
Habitual cognitive reappraisal was negatively related to perceived immorality in the Harm and Fairness domains,2017,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032206124&doi=10.3389%2ffpsyg.2017.01805&partnerID=40&md5=e0c189c19c4cd6fdaed5332df04b04ea,"Emotion plays an important role in moral judgment, and people always use emotion regulation strategies to modulate emotion, consciously or unconsciously. Previous studies had investigated only the relationship between emotion regulation strategies and moral judgment in the Harm domain, and revealed divergent results. Based on Moral Foundations Theory, the present study extended the investigation into moral judgment in all five moral domains and used a set of standardized moral vignettes. Two hundred and six college students filled in the Emotion Regulation Questionnaire and completed emotional ratings and moral judgment on moral vignettes from Moral Foundations Vignettes. Correlation analysis indicated that habitual cognitive reappraisal was negatively related to immorality rating in Harm, Fairness, and Loyalty domains. Regression analysis revealed that after controlling the effect of other variables, cognitive reappraisal negatively predicted immorality ratings in the Harm and Fairness domains. Further mediation analysis showed that emotional valence only partially explained the association between cognitive reappraisal and moral judgment in Harm area. Some other factors beyond emotional valence were suggested for future studies. © 2017 Li, Wu, Zhang and Zhang.",0.44571428571428573
"Economic growth, income inequality and environment: assessing the applicability of the Kuznets hypotheses to Asia",2017,48,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056209148&doi=10.1057%2fpalcomms.2017.69&partnerID=40&md5=bc6ac35e61fb346a06c8542bd4040bd9,"In light of growing threats to sustainable development, two serious challenges (that is, rising income inequality and environmental degradation) have been addressed by numerous empirical studies. However, the results of those surveys undertaken for varied samples over different time periods have in many cases turned out inconclusive regarding the validity of the two Kuznets related hypotheses that dealt with the challenges. Hence, the two hypotheses are tested in our study for the case of Asia with a view to exploring the interlink between the hypotheses, as there seems to be a limited literature on this issue, especially on Asia. The Kuznets inverted U-curve hypothesis that posits the relationship between income and income inequality has met varying degrees of acceptance. The recent work by Piketty, for example, refuted the hypotheses as irrelevant as the universally applicable theory, though Piketty himself has not dealt with in-depth analysis of Asia, the region that has had the largest increase in income inequality in the developing world since the 1990s. As for the second hypothesis (EKC curve) that postulates the relationship between income and environmental deterioration, diverse results produced by multitudinous surveys need to be re-examined by further studies, especially on Asia, the region that includes three of the world’s top five largest GHG emissions resultant from the highest economic growth rate achieved since 1990. Our cross-country and non-econometric analysis of 20 Asian countries shows that the Kuznets inverted U-curve hypothesis is valid with some limitations. Both Asian trends in income inequality and in environmental degradation (CO2 emissions) appear, by and large, to follow Kuznets’ hypothesized curve up to the lower level of high income as income rises, whereas a divergent trend could be observed among high income economies, generating a second inverted U-curve with frequent irregularities in the trend curve as income increases. Irregularities in the curves that are frequently observed among high income economies seem to be apparently generated by country-specific conditions, policy, technology and so on. Thus growth impacts on income inequality and environmental deterioration differ substantially among the high income economies, whereas among the countries with lower income, growth impacts generated on inequality are generally small, though their impacts on environment tend to be large. While environmental and income policy is often non-existent for low income countries, high income countries have generally introduced varied policies to cope with growing income inequality and environmental degradation. Since irregular patterns in the two Kuznets inverted U-curves seem to be generated by country-specific conditions and policies, that appear to be wide-ranging among economies within higher income range, econometric analyses that have produced divergent results on the validity of Kuznetsian hypothesis may need to be supplemented by different approaches that take in to account country-specific conditions. This study raises the question whether it is possible to promote equitable income growth that could reconcile with environmental protection. The governments of high income countries, the largest emitters of all income groups, may need to cope with the issue by devising policies that seek a proper link between development and environment. © 2017, The Author(s).",0.40039840637450197
Application of Binary Searching for Item Exposure Control in Cognitive Diagnostic Computerized Adaptive Testing,2017,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029427559&doi=10.1177%2f0146621617707509&partnerID=40&md5=b11ba1dae256305ff60fe6df4893a162,"Cognitive diagnosis has emerged as a new generation of testing theory for educational assessment after the item response theory (IRT). One distinct feature of cognitive diagnostic models (CDMs) is that they assume the latent trait to be discrete instead of continuous as in IRT. From this perspective, cognitive diagnosis bears a close resemblance to searching problems in computer science and, similarly, item selection problem in cognitive diagnostic computerized adaptive testing (CD-CAT) can be considered as a dynamic searching problem. Previously, item selection algorithms in CD-CAT were developed from information indices in information science and attempted to achieve a balance among several objectives by assigning different weights. As a result, they suffered from low efficiency from a tug-of-war competition among multiple goals in item selection and, at the same time, put an undue responsibility of assigning the weights for these goals by trial and error on users. Based on the searching problem perspective on CD-CAT, this article adapts the binary searching algorithm, one of the most well-known searching algorithms in searching problems, to item selection in CD-CAT. The two new methods, the stratified dynamic binary searching (SDBS) algorithm for fixed-length CD-CAT and the dynamic binary searching (DBS) algorithm for variable-length CD-CAT, can achieve multiple goals without any of the aforementioned issues. The simulation studies indicate their performances are comparable or superior to the previous methods. © 2017, © The Author(s) 2017.",0.4336283185840708
Dissociated spatial-arithmetic associations in horizontal and vertical dimensions,2017,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030556684&doi=10.3389%2ffpsyg.2017.01741&partnerID=40&md5=cd1f4a3c49d041837d1638b545bd52bb,"Spatial-numerical associations (small numbers-left/lower space and large numbers-right/upper space) are regularly found in elementary number processing. Recently, the interest in this phenomenon has been extended from elementary number processing to mental arithmetic. Many studies have demonstrated horizontal spatial-arithmetic associations, i.e., solving addition or subtraction problems cause spatial shifts of attention rightward or leftward, respectively. However, the role of this effect in the vertical dimension has not been addressed. This is problematic because it leaves the analogy between elementary number processing and arithmetic incomplete. In order to make a strong case for a similarity between elementary number processing and mental arithmetic, a spatial-arithmetic association should be observed in the vertical dimension too. Here, we adopted the target detection paradigm from Liu et al. (2017) to replicate the horizontal spatial-arithmetic association, and meanwhile investigate whether this effect also exists in the vertical direction. Our results confirmed that addition could induce covert movement to right side and subtraction to left side. However, such a spatial-arithmetic association was not found in the vertical dimension. The implication of these findings is discussed. © 2017 Liu, Verguts, Li, Ling and Chen.",0.43956043956043955
Getting the Joke: Insight during humor comprehension - Evidence from an fMRI study,2017,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049201642&doi=10.3389%2ffpsyg.2017.01835&partnerID=40&md5=e2e43f5af3238283e9a61c5fd46b52b5,"As a high-level cognitive activity, humor comprehension requires incongruity detection and incongruity resolution, which then elicits an insight moment. The purpose of the study was to explore the neural basis of humor comprehension, particularly the moment of insight, by using both characters and language-free cartoons in a functional magnetic resonance imaging study. The results showed that insight involving jokes elicited greater activation in language and semantic-related brain regions as well as a variety of additional regions, such as the superior frontal gyrus (SFG), the inferior frontal gyrus (IFG), the middle temporal gyrus (MTG), the superior temporal gyrus (STG), the temporoparietal junctions (TPJ), the hippocampus and visual areas. These findings indicate that the MTG might play a role in incongruity detection, while the SFG, IFG and the TPJ might be involved in incongruity detection. The passive insight event elicited by jokes appears to be mediated by a limited number of brain areas. Our study showed that the brain regions associated with humor comprehension were not affected by the type of stimuli and that humor and insight shared common brain areas. These results indicate that one experiences a feeling of insight during humor comprehension, which contributes to the understanding of humor comprehension. © 2017 Tian, Hou, Zhu, Dietrich, Zhang, Yang, Chen, Sun, Jiang and Cao.",0.41232227488151657
A two-phase model of resource allocation in visual working memory,2017,20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014074828&doi=10.1037%2fxlm0000376&partnerID=40&md5=280880e2bdabf2ad611f89238ddba463,"Two broad theories of visual working memory (VWM) storage have emerged from current research, a discrete slot-based theory and a continuous resource theory. However, neither the discrete slot-based theory or continuous resource theory clearly stipulates how the mental commodity for VWM (discrete slot or continuous resource) is allocated. Allocation may be based on the number of items via stimulus-driven factors, or it may be based on task demands via voluntary control. Previous studies have obtained conflicting results regarding the automaticity versus controllability of such allocation. In the current study, we propose a two-phase allocation model, in which the mental commodity could be allocated only by stimulus-driven factors in the early consolidation phase. However, when there is sufficient time to complete the early phase, allocation can enter the late consolidation phase, where it can be flexibly and voluntarily controlled according to task demands. In an orientation recall task, we instructed participants to store either fewer items at high-precision or more items at low-precision. In 3 experiments, we systematically manipulated memory set size and exposure duration. We did not find an effect of task demands when the set size was high and exposure duration was short. However, when we either decreased the set size or increased the exposure duration, we found a trade-off between the number and precision of VWM representations. These results can be explained by a two-phase model, which can also account for previous conflicting findings in the literature. © 2017 American Psychological Association.",0.48132780082987553
Regular is longer,2017,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032267769&doi=10.1177%2f2041669517728944&partnerID=40&md5=921f0010539d9d154271908b149b1fc5,"The current study examined whether regularity of dot patterns would influence time perception. We presented observers the dot patterns with three levels of regularity (high, middle and low) and measured the perceived duration of each pattern by bisection and rating methods. The results revealed that the perceived duration of high regular patterns was longer than that of middle and low regular patterns. Thus, we found that stimulus regularity is one of the factors that influence time perception. © The Author(s) 2017.",0.5316455696202531
"Self-Referent and Other-Referent Career Successes, Career Satisfaction, and Turnover Intention Among Chinese Employees: The Role of Achievement Motivation",2017,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028648306&doi=10.1177%2f0894845316657181&partnerID=40&md5=3743aca77bf2212cf6edf5fa8c4ce4be,"Based on the social comparison theory, this research examined how self-referent and other-referent career successes predict career satisfaction and turnover intention among a sample of Chinese employees (N = 299). It was found that both self-referent and other-referent career successes played unique roles in predicting career satisfaction, which, in turn, predicted turnover intention. In addition, this research examined the role of achievement motivation in this process and revealed a moderated mediation model for the relations among these variables. Specifically, the indirect effect of self-referent career success on turnover intention through career satisfaction was stronger among employees with a higher level of individual-orientated achievement motivation, and the indirect effect of other-referent career success on turnover intention through career satisfaction was stronger among employees with a lower level of individual-orientated achievement motivation. These findings carry implications for research on career success and turnover intention. © 2016, © Curators of the University of Missouri 2016.",0.5273972602739726
The Effect of Intergroup Conflict on Ingroup Cooperation and Conformity: An Experimental Vignette Study,2017,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021210260&doi=10.1111%2fjpr.12160&partnerID=40&md5=4650851cba5561151fcabd511f9fe8b2,"In this study, we aimed to test the hypothesis that intergroup conflict would enhance not only ingroup cooperation, but also conformity (frequency-dependent tendency). One hundred and eighty undergraduate students participated in a vignette experiment. They read four scenarios describing daily intergroup conflict situations, and rated behavioral intention for ingroup cooperation and frequency-dependent tendency of ingroup members. In each vignette, level of intergroup conflict (weak/moderate) was manipulated by costs of defeat. The results supported the hypothesis in part that intergroup conflict enhanced both ingroup cooperation and conformity. © 2017 Japanese Psychological Association. Published by John Wiley & Sons Australia, Ltd.",0.40625
A new measurement of internet addiction using diagnostic classification models,2017,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030974441&doi=10.3389%2ffpsyg.2017.01768&partnerID=40&md5=92c1bfe2360f701c3540b298e441692c,"To obtain accurate, valid, and rich information from the questionnaires for internet addiction, a diagnostic classification test for internet addiction (the DCT-IA) was developed using diagnostic classification models (DCMs), a cutting-edge psychometric theory, based on DSM-5. A calibration sample and a validation sample were recruited in this study to calibrate the item parameters of the DCT-IA and to examine the sensitivity and specificity. The DCT-IA had high reliability and validity based on both CTT and DCMs, and had a sensitivity of 0.935 and a specificity of 0.817 with AUC = 0.919. More important, different from traditional questionnaires, the DCT-IA can simultaneously provide general-level diagnostic information and the detailed symptom criteria-level information about the posterior probability of satisfying each symptom criterion in DMS-5 for each patient, which gives insight into tailoring individual-specific treatments for internet addiction. © 2017 Tu, Gao, Wang and Cai.",0.4117647058823529
A cross-national comparison of violence among young men in China and the UK: psychiatric and cultural explanations,2017,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027376667&doi=10.1007%2fs00127-017-1420-y&partnerID=40&md5=2185500bc91c614bf370ae52a5be47a7,"Purpose: Public health psychiatry has a key role in violence prevention. Cross-national comparisons of violence and associated psychiatric morbidity can indicate targets for preventive interventions. Method: Data on young adult men in households, 18–34 years, were drawn from the Second Men’s Modern Lifestyles survey in Great Britain (n = 2046) and from a corresponding survey in Chengdu, China (n = 4132), using a translated questionnaire. Binary logistic regression models were carried out to estimate the cross-national differences for different types of violence and to identify explanatory variables. Results: Chinese men were less likely to report violence in the past 5 years (AOR 0.59, 95% CI 0.48–0.72, P < 0.001). All levels of violence were lower among Chinese men except intimate partner violence (AOR 2.43, 95% CI 1.65–3.59, P < 0.001) and a higher proportion of Chinese men were only violent towards their partners (AOR 7.90, 95% CI 3.27–19.07, P < 0.001). Conclusions: Cross-national differences were explained by British men’s reports of early violence persisting into adulthood, confidence in fighting ability, perception that violence is acceptable behaviour, and experience of violent victimization. More British men screened positive for antisocial personality disorder and substance misuse. Attitudes which condone violence and a serious problem of alcohol-related, male-on-male violence are key targets for preventive interventions among British men. The higher prevalence of life course-persistent antisocial behaviour among British men is of concern and requires further investigation. Higher prevalence of intimate partner violence among Chinese men reflects patriarchal approaches to conflict resolution and confirms an important public health problem in China which requires further cross-national investigation. © 2017, The Author(s).",0.4834710743801653
K-SPAN: A lexical database of Korean surface phonetic forms and phonological neighborhood density statistics,2017,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011659636&doi=10.3758%2fs13428-016-0836-8&partnerID=40&md5=4690da85d6a29e937f307a91c76a07e8,"This article presents K-SPAN (Korean Surface Phonetics and Neighborhoods), a database of surface phonetic forms and several measures of phonological neighborhood density for 63,836 Korean words. Currently publicly available Korean corpora are limited by the fact that they only provide orthographic representations in Hangeul, which is problematic since phonetic forms in Korean cannot be reliably predicted from orthographic forms. We describe the method used to derive the surface phonetic forms from a publicly available orthographic corpus of Korean, and report on several statistics calculated using this database; namely, segment unigram frequencies, which are compared to previously reported results, along with segment-based and syllable-based neighborhood density statistics for three types of representation: an “orthographic” form, which is a quasi-phonological representation, a “conservative” form, which maintains all known contrasts, and a “modern” form, which represents the pronunciation of contemporary Seoul Korean. These representations are rendered in an ASCII-encoded scheme, which allows users to query the corpus without having to read Korean orthography, and permits the calculation of a wide range of phonological measures. © 2017, Psychonomic Society, Inc.",0.3699421965317919
The “social” facilitation of eating without the presence of others: Self-reflection on eating makes food taste better and people eat more,2017,39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019626840&doi=10.1016%2fj.physbeh.2017.05.022&partnerID=40&md5=2b83c8ec79ccd3f38b95122fcfd41174,"Food tastes better and people eat more of it when eaten with company than alone. Although several explanations have been proposed for this social facilitation of eating, they share the basic assumption that this phenomenon is achieved by the existence of co-eating others. Here, we demonstrate a similar “social” facilitation of eating in the absence of other individuals. Elderly participants tasted a piece of popcorn alone while in front of a mirror (which reflects the participant themselves eating popcorn) or in front of a wall-reflecting monitor, and were found to eat more popcorn and rate it better tasting in the self-reflecting condition than in the monitor condition. Similar results were found for younger adults. The results suggest that the social facilitation of eating does not necessarily require the presence of another individual. Furthermore, we observed a similar “social” facilitation of eating even when participants ate a piece of popcorn in front of a static picture of themselves eating, suggesting that static visual information of “someone” eating food is sufficient to produce the “social” facilitation of eating. © 2017 The Authors",0.42134831460674155
Latent factors in attention emerge from 9 years of age among elementary school children,2017,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030532338&doi=10.3389%2ffpsyg.2017.01725&partnerID=40&md5=cf6cf42b764b52225de3666ba944804c,"We explored the development of attention among elementary school children. Three hundred and sixty-five primary school children aged 7-12 years completed seven attention tests (alertness, focused attention, divided attention, attentional switching, sustained attention, spatial attention, and supervisory attention). A factor analysis indicated that there was no stable construct of attention among 7- to 8-year-old children. However, from 9 years on, children's attention could be separated into perceptual and executive attention. Notably, however, the attention types included in these two factors differed from those among adults. © 2017 Tao, Wang, Fan, Gao and Shi.",0.5340909090909091
Own-group face recognition bias: The effects of location and reputation,2017,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032225530&doi=10.3389%2ffpsyg.2017.01734&partnerID=40&md5=72e2c6a718eb940cc87463cf72dd29b7,"In the present study, we examined whether social categorization based on university affiliation can induce an advantage in recognizing faces. Moreover, we investigated how the reputation or location of the university affected face recognition performance using an old/new paradigm. We assigned five different university labels to the faces: participants' own university and four other universities. Among the four other university labels, we manipulated the academic reputation and geographical location of these universities relative to the participants' own university. The results showed that an own-group face recognition bias emerged for faces with own-university labels comparing to those with other-university labels. Furthermore, we found a robust own-group face recognition bias only when the other university was located in a different city far away from participants' own university. Interestingly, we failed to find the influence of university reputation on own-group face recognition bias. These results suggest that categorizing a face as a member of one's own university is sufficient to enhance recognition accuracy and the location will play a more important role in the effect of social categorization on face recognition than reputation. The results provide insight into the role of motivational factors underlying the university membership in face perception. © 2017 Yan, Wang, Huang, Sun, Judges, Xiao and Lee.",0.4975609756097561
Who are likely to attempt suicide again? A comparative study between the first and multiple timers,2017,30,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029292763&doi=10.1016%2fj.comppsych.2017.07.007&partnerID=40&md5=bff8e50fdb971bb5d50bd59179183eae,"Background Various explanations account for suicide incidents, and some patients continue to attempt afterwards and others never again. The suicide mortality rate increases with the number of serious attempts. The prevention of secondary attempt of suicide should be an important approach to reduce suicide mortality. However, the characteristics of the targeted population of repeated suicide attempters are understudied. Methods This was a cross-sectional data collection from hospital emergency room from patients who had either attempted suicide for the first time (n = 721) or for two or more times (n = 70). The subjects were between 14 and 53 years old and comprised 293 males and 498 females. In-depth interview was conducted for each suicide attempter with a semi-structural protocol. Demographic and social-psychological characteristics were compared between the two groups of suicide attempters. Logistic regression was used to identify independent predictors of multiple attempts. Findings The two groups only differed in religion factor among demographic characteristics and multiple suicide attempters group have a higher percentage of subjects who reported to have a religion affiliation than first time suicide attempters. Multiple attempters were more likely to have family suicide history, physical illness, mental disorder, higher scores on Beck Hopelessness Scale (BHS) and Suicide Intent Scale (SIS) and lower scores on Duke Social Support Scale (DSSI). In the final regression model, family history of suicide, mental disorder, hopelessness and social support emerged as significant predictors of multiple suicide attempts. Conclusion Suicide attempters that have mental disorder, family history of suicide, higher level of hopelessness and lower level of social support are more likely to re-attempt suicide again. Social and clinical interventions may have to also focus on this sub-group of patients with these characteristics to effectively reduce suicide mortality rate. © 2017 Elsevier Inc.",0.5354609929078015
